Fovea Capitis Femoris, -39.2835, -22.9141, 182.884
Trochanter Minus, -18.3026, 6.08242, 135.153
Trochanter Majus, 14.0543, 0.433413, 188.596
Linea Intertrochanterica, 12.5376, -27.1462, 161.873
Intercondylar Notch, 6.41529, 16.3837, -178.066
Facies Patellaris, 22.9555, -19.2014, -164.984
Epicondylus Lateralis, 43.9245, 14.1791, -165.966
Epicondylus Medialis, -29.4917, 18.547, -173.42
Most Distal Point, -10.233, 21.78, -197.598
Most Proximal Point, -19.9343, -24.0087, 199.254
Most Anterior Neck Point, -1.02731, -29.7752, 168.957
Most Medial Neck Point, -17.8207, -21.8693, 155.324
Most Posterior Neck Point, -9.16368, -4.43729, 171.082
Head Fit 1, -10.4695, -19.14, 195.575
Head Fit 2, -26.5915, -8.19739, 194.925
Head Fit 3, -30.4784, -28.3594, 194.351
Head Fit 4, -14.0523, -36.4859, 190.471
Head Fit 5, -11.6735, -5.29993, 183.288
Head Fit 6, -35.1133, -6.74062, 170.643
Head Fit 7, -27.6038, -35.7364, 163.364
Head Fit 8, -5.87561, -35.9359, 176.951
Condylus Lateralis, 29.7579, 37.0076, -167.417
Condylus Medialis, -12.6138, 42.4224, -175.817
